time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,-1.0198197791664e-05,0,7022347.3948214,0,293.15,293.15,-1.0198197791664e-05
0.26,0,0,0,0,-1.0198197791664e-05,0,7022347.3948214,0,293.15,293.15,-1.0198197791664e-05
0.516,0,0,0,0,-1.0198197791664e-05,0,7022347.3948214,0,293.15,293.15,-1.0198197791664e-05
0.9256,0,0,0,0,-1.0198197791664e-05,0,7022347.3948214,0,293.15,293.15,-1.0198197791664e-05
1.58096,0,0,0,0,-0.00016124159983982,0,4391171.3303447,0,293.15,293.15,-0.00016124159983982
2.629536,0,0,0,0,-0.00016124159983982,0,4391171.3303447,0,293.15,293.15,-0.00016124159983982
4,0,0,0,0,-0.00040800903140269,0,92482.672408262,0,293.15,293.15,-0.00040800903140269
6.5,0,0,0,0,-0.00066309923141852,0,4351188.6118646,0,293.15,293.15,-0.00066309923141852
9,0,0,0,0,-0.0009182545190424,0,8795993.7223569,0,293.15,293.15,-0.0009182545190424
11.5,0,0,0,0,-0.0011734749274971,0,13241933.237608,0,293.15,293.15,-0.0011734749274971
14,0,0,0,0,-0.0014287604900333,0,17689007.737252,0,293.15,293.15,-0.0014287604900333
16.5,0,0,0,0,-0.0016841112399234,0,22137217.800433,0,293.15,293.15,-0.0016841112399234
19,0,0,0,0,-0.0019395272104678,0,26586564.007316,0,293.15,293.15,-0.0019395272104678
21.5,0,0,0,0,-0.0021950084349921,0,31037046.938212,0,293.15,293.15,-0.0021950084349921
24,0,0,0,0,-0.0024505549468552,0,35488667.174138,0,293.15,293.15,-0.0024505549468552
26.5,0,0,0,0,-0.0027061667794075,0,39941425.298528,0,293.15,293.15,-0.0027061667794075
29,0,0,0,0,-0.0029618439660778,0,44395321.890372,0,293.15,293.15,-0.0029618439660778
31.5,0,0,0,0,-0.0032175865402843,0,48850357.533132,0,293.15,293.15,-0.0032175865402843
34,0,0,0,0,-0.0034733945354807,0,53306532.809538,0,293.15,293.15,-0.0034733945354807
36.5,0,0,0,0,-0.0037292679851462,0,57763848.30279,0,293.15,293.15,-0.0037292679851462
39,0,0,0,0,-0.0039852069227852,0,62222304.596337,0,293.15,293.15,-0.0039852069227852
41.5,0,0,0,0,-0.0042412113819279,0,66681902.274882,0,293.15,293.15,-0.0042412113819279
