time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,RedbackElementAverageValue,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,-2801901.6950192,-1.0224166732553e-07,0,7198098.3050056,0,293.15,293.15,-1.0224166732553e-07
0.003,0,0,0,0,-2805705.0855006,-3.0672503343529e-07,0,7194294.9140661,0,293.15,293.15,-3.0672503343529e-07
0.007,0,0,0,0,-2805705.0855006,-3.0672503343529e-07,0,7194294.9140661,0,293.15,293.15,-3.0672503343529e-07
0.015,0,0,0,0,-2805705.0855006,-3.0672503343529e-07,0,7194294.9140661,0,293.15,293.15,-3.0672503343529e-07
0.031,0,0,0,0,-2805705.0855006,-3.0672503343529e-07,0,7194294.9140661,0,293.15,293.15,-3.0672503343529e-07
0.063,0,0,0,0,-2805705.0855006,-3.0672503343529e-07,0,7194294.9140661,0,293.15,293.15,-3.0672503343529e-07
0.127,0,0,0,0,-2805705.0855006,-3.0672503343529e-07,0,7194294.9140661,0,293.15,293.15,-3.0672503343529e-07
0.255,0,0,0,0,-3284938.5244436,-2.6071963686156e-05,0,6715061.4751318,0,293.15,293.15,-2.6071963686156e-05
0.511,0,0,0,0,-3771791.4867493,-5.2246854134964e-05,0,6228208.5126755,0,293.15,293.15,-5.2246854134964e-05
1.011,0,0,0,0,-4722712.9285674,-0.00010337166283509,0,5277287.070842,0,293.15,293.15,-0.00010337166283509
1.511,0,0,0,0,-5673682.9885481,-0.00015449908541476,0,4326317.0108577,0,293.15,293.15,-0.00015449908541476
2.011,0,0,0,0,-6624701.6716552,-0.00020562912214167,0,3375298.3277024,0,293.15,293.15,-0.00020562912214167
2.511,0,0,0,0,-7575768.9828731,-0.00025676177328279,0,2424231.0164599,0,293.15,293.15,-0.00025676177328279
3.011,0,0,0,0,-8526884.9271728,-0.00030789703910565,0,1473115.0721407,0,293.15,293.15,-0.00030789703910565
3.511,0,0,0,0,-9478049.5095226,-0.00035903491987751,0,521950.48976635,0,293.15,293.15,-0.00035903491987751
4.011,0,0,0,0,-10429262.734902,-0.00041017541586606,0,429262.73563923,0,293.15,293.15,-0.00041017541586606
4.511,0,0,0,0,-11380524.608289,-0.00046131852733872,0,1380524.609043,0,293.15,293.15,-0.00046131852733872
5.011,0,0,0,0,-12331835.134655,-0.00051246425456304,0,2331835.1354307,0,293.15,293.15,-0.00051246425456304
5.511,0,0,0,0,-13283194.318977,-0.00056361259780645,0,3283194.3197743,0,293.15,293.15,-0.00056361259780645
6.011,0,0,0,0,-14234602.166244,-0.00061476355733686,0,4234602.1670365,0,293.15,293.15,-0.00061476355733686
6.511,0,0,0,0,-15186058.681407,-0.0006659171334217,0,5186058.6822527,0,293.15,293.15,-0.0006659171334217
7.011,0,0,0,0,-16137563.869472,-0.0007170733263288,0,6137563.8703434,0,293.15,293.15,-0.0007170733263288
7.511,0,0,0,0,-17089117.735407,-0.00076823213632569,0,7089117.7363024,0,293.15,293.15,-0.00076823213632569
8.011,0,0,0,0,-18040720.284198,-0.00081939356368041,0,8040720.2851189,0,293.15,293.15,-0.00081939356368041
8.511,0,0,0,0,-18992371.520833,-0.00087055760865827,0,8992371.5215861,0,293.15,293.15,-0.00087055760865827
9.011,0,0,0,0,-19944071.450263,-0.00092172427153399,0,9944071.4512251,0,293.15,293.15,-0.00092172427153399
9.511,0,0,0,0,-20895820.077506,-0.00097289355256895,0,10895820.078493,0,293.15,293.15,-0.00097289355256895
10.011,0,0,0,0,-21847617.407541,-0.0010240654520335,0,11847617.408547,0,293.15,293.15,-0.0010240654520335
10.511,0,0,0,0,-22799463.445349,-0.0010752399701949,0,12799463.446337,0,293.15,293.15,-0.0010752399701949
11.011,0,0,0,0,-23751358.19589,-0.0011264171073218,0,13751358.196944,0,293.15,293.15,-0.0011264171073218
11.511,0,0,0,0,-24703301.664186,-0.0011775968636822,0,14703301.665266,0,293.15,293.15,-0.0011775968636822
12.011,0,0,0,0,-25655293.855207,-0.0012287792395438,0,15655293.856307,0,293.15,293.15,-0.0012287792395438
12.511,0,0,0,0,-26607334.773945,-0.0012799642351753,0,16607334.775073,0,293.15,293.15,-0.0012799642351753
13.011,0,0,0,0,-27559424.425393,-0.0013311518508448,0,17559424.426538,0,293.15,293.15,-0.0013311518508448
13.511,0,0,0,0,-28511562.814529,-0.0013823420868203,0,18511562.815703,0,293.15,293.15,-0.0013823420868203
14.011,0,0,0,0,-29463749.946383,-0.0014335349433697,0,19463749.947431,0,293.15,293.15,-0.0014335349433697
14.511,0,0,0,0,-30415985.825852,-0.0014847304207631,0,20415985.82707,0,293.15,293.15,-0.0014847304207631
15.011,0,0,0,0,-31368270.458015,-0.0015359285192667,0,21368270.459251,0,293.15,293.15,-0.0015359285192667
15.511,0,0,0,0,-32320603.847837,-0.00158712923915,0,22320603.849098,0,293.15,293.15,-0.00158712923915
16.011,0,0,0,0,-33272986.000312,-0.0016383325806813,0,23272986.001596,0,293.15,293.15,-0.0016383325806813
16.511,0,0,0,0,-34225416.920426,-0.0016895385441287,0,24225416.921739,0,293.15,293.15,-0.0016895385441287
17.011,0,0,0,0,-35177896.613185,-0.0017407471297611,0,25177896.614515,0,293.15,293.15,-0.0017407471297611
17.511,0,0,0,0,-36130425.083615,-0.0017919583378471,0,26130425.084834,0,293.15,293.15,-0.0017919583378471
18.011,0,0,0,0,-37083002.336605,-0.0018431721686554,0,27083002.337983,0,293.15,293.15,-0.0018431721686554
18.511,0,0,0,0,-38035628.37726,-0.0018943886224543,0,28035628.378656,0,293.15,293.15,-0.0018943886224543
19.011,0,0,0,0,-38988303.210537,-0.0019456076995127,0,28988303.211962,0,293.15,293.15,-0.0019456076995127
19.511,0,0,0,0,-39941026.841443,-0.0019968294000993,0,29941026.842887,0,293.15,293.15,-0.0019968294000993
20.011,0,0,0,0,-40893799.274984,-0.002048053724483,0,30893799.276412,0,293.15,293.15,-0.002048053724483
20.511,0,0,0,0,-41846620.516123,-0.0020992806729324,0,31846620.517618,0,293.15,293.15,-0.0020992806729324
21.011,0,0,0,0,-42799490.569903,-0.0021505102457165,0,32799490.571416,0,293.15,293.15,-0.0021505102457165
21.511,0,0,0,0,-43752409.441324,-0.0022017424431044,0,33752409.442813,0,293.15,293.15,-0.0022017424431044
22.011,0,0,0,0,-44705377.135345,-0.0022529772653646,0,34705377.136907,0,293.15,293.15,-0.0022529772653646
22.511,0,0,0,0,-45658393.657012,-0.0023042147127664,0,35658393.658595,0,293.15,293.15,-0.0023042147127664
23.011,0,0,0,0,-46611459.011316,-0.0023554547855788,0,36611459.01292,0,293.15,293.15,-0.0023554547855788
